,serial_internal,serial,lab,type,tp,cell,amb_temp_tp,soc_max_tp,dod_tp,c_ch_tp,c_dch_tp,sampling,stage,m_0,scale,R_1khz_0,resistance_meter,U_0, volt_meter,id
207,021,TP_z01_01,SIE,z,1,1,45,0.47,0.15,0.7,1.9,cLH,2,68.89,KERN ABT 220-5DM,13.026,HIOKI 3554,3.575,HIOKI 3554,TP_z01_01_2
208,047,TP_z01_02,SIE,z,1,2,45,0.47,0.15,0.7,1.9,cLH,2,68.82,KERN ABT 220-5DM,13.346,HIOKI 3554,3.575,HIOKI 3554,TP_z01_02_2
209,182,TP_z01_03,SIE,z,1,3,45,0.47,0.15,0.7,1.9,cLH,2,68.84,KERN ABT 220-5DM,13.744,HIOKI 3554,3.575,HIOKI 3554,TP_z01_03_2
210,117,TP_z02_01,SIE,z,2,1,45,0.8,0.6,1.0,2.0,pi,2,68.66,KERN ABT 220-5DM,14.134,HIOKI 3554,3.576,HIOKI 3554,TP_z02_01_2
211,025,TP_z02_02,SIE,z,2,2,45,0.8,0.6,1.0,2.0,pi,2,68.79,KERN ABT 220-5DM,12.872,HIOKI 3554,3.575,HIOKI 3554,TP_z02_02_2
212,139,TP_z02_03,SIE,z,2,3,45,0.8,0.6,1.0,2.0,pi,2,68.88,KERN ABT 220-5DM,13.272,HIOKI 3554,3.575,HIOKI 3554,TP_z02_03_2
213,183,TP_z03_01,SIE,z,3,1,45,0.8,0.6,0.24,2.0,pi,2,68.88,KERN ABT 220-5DM,13.222,HIOKI 3554,3.574,HIOKI 3554,TP_z03_01_2
214,075,TP_z03_02,SIE,z,3,2,45,0.8,0.6,0.24,2.0,pi,2,68.81,KERN ABT 220-5DM,13.346,HIOKI 3554,3.575,HIOKI 3554,TP_z03_02_2
215,010,TP_z03_03,SIE,z,3,3,45,0.8,0.6,0.24,2.0,pi,2,68.86,KERN ABT 220-5DM,13.342,HIOKI 3554,3.574,HIOKI 3554,TP_z03_03_2
216,INT059,TP_z04_01,INT,z,4,1,23,0.69,0.2,1.0,0.5,cLH,2,68.91,KERN ABT 220-5DM,13.062,HIOKI 3554,3.574,HIOKI 3554,TP_z04_01_2
217,INT037,TP_z04_02,INT,z,4,2,23,0.69,0.2,1.0,0.5,cLH,2,68.91,KERN ABT 220-5DM,13.3,HIOKI 3554,3.575,HIOKI 3554,TP_z04_02_2
218,INT027,TP_z04_03,INT,z,4,3,23,0.69,0.2,1.0,0.5,cLH,2,68.91,KERN ABT 220-5DM,13.214,HIOKI 3554,3.574,HIOKI 3554,TP_z04_03_2
219,INT073,TP_z05_01,INT,z,5,1,23,0.25,0.05,0.4,0.3,cLH,2,68.86,KERN ABT 220-5DM,13.038,HIOKI 3554,3.576,HIOKI 3554,TP_z05_01_2
220,INT161,TP_z05_02,INT,z,5,2,23,0.25,0.05,0.4,0.3,cLH,2,68.94,KERN ABT 220-5DM,14.314,HIOKI 3554,3.574,HIOKI 3554,TP_z05_02_2
221,INT200,TP_z05_03,INT,z,5,3,23,0.25,0.05,0.4,0.3,cLH,2,68.75,KERN ABT 220-5DM,13.95,HIOKI 3554,3.575,HIOKI 3554,TP_z05_03_2
222,INT018,TP_z06_01,INT,z,6,1,23,0.36,0.05,0.8,1.7,cLH,2,68.9,KERN ABT 220-5DM,13.156,HIOKI 3554,3.574,HIOKI 3554,TP_z06_01_2
223,INT007,TP_z06_02,INT,z,6,2,23,0.36,0.05,0.8,1.7,cLH,2,68.87,KERN ABT 220-5DM,13.194,HIOKI 3554,3.574,HIOKI 3554,TP_z06_02_2
224,INT153,TP_z06_03,INT,z,6,3,23,0.36,0.05,0.8,1.7,cLH,2,68.83,KERN ABT 220-5DM,13.472,HIOKI 3554,3.574,HIOKI 3554,TP_z06_03_2
225,INT065,TP_z07_01,INT,z,7,1,23,0.8,0.25,0.2,1.4,cLH,2,68.85,KERN ABT 220-5DM,13.114,HIOKI 3554,3.575,HIOKI 3554,TP_z07_01_2
226,INT163,TP_z07_02,INT,z,7,2,23,0.8,0.25,0.2,1.4,cLH,2,68.99,KERN ABT 220-5DM,13.608,HIOKI 3554,3.575,HIOKI 3554,TP_z07_02_2
227,INT078,TP_z07_03,INT,z,7,3,23,0.8,0.25,0.2,1.4,cLH,2,68.87,KERN ABT 220-5DM,13.012,HIOKI 3554,3.575,HIOKI 3554,TP_z07_03_2
228,INT191,TP_z08_01,INT,z,8,1,35,0.74,0.15,0.5,1.3,cLH,2,68.99,KERN ABT 220-5DM,13.54,HIOKI 3554,3.574,HIOKI 3554,TP_z08_01_2
229,INT061,TP_z08_02,INT,z,8,2,35,0.74,0.15,0.5,1.3,cLH,2,68.83,KERN ABT 220-5DM,12.956,HIOKI 3554,3.574,HIOKI 3554,TP_z08_02_2
230,INT060,TP_z08_03,INT,z,8,3,35,0.74,0.15,0.5,1.3,cLH,2,68.9,KERN ABT 220-5DM,13.246,HIOKI 3554,3.574,HIOKI 3554,TP_z08_03_2
231,INT031,TP_z09_01,INT,z,9,1,35,0.63,0.4,0.5,0.2,cLH,2,68.85,KERN ABT 220-5DM,12.952,HIOKI 3554,3.575,HIOKI 3554,TP_z09_01_2
232,INT088,TP_z09_02,INT,z,9,2,35,0.63,0.4,0.5,0.2,cLH,2,68.92,KERN ABT 220-5DM,13.39,HIOKI 3554,3.575,HIOKI 3554,TP_z09_02_2
233,INT020,TP_z09_03,INT,z,9,3,35,0.63,0.4,0.5,0.2,cLH,2,68.94,KERN ABT 220-5DM,12.944,HIOKI 3554,3.575,HIOKI 3554,TP_z09_03_2
234,INT149,TP_z10_01,INT,z,10,1,35,0.8,0.5,0.9,1.1,cLH,2,68.93,KERN ABT 220-5DM,13.6,HIOKI 3554,3.575,HIOKI 3554,TP_z10_01_2
235,INT005,TP_z10_02,INT,z,10,2,35,0.8,0.5,0.9,1.1,cLH,2,68.96,KERN ABT 220-5DM,12.966,HIOKI 3554,3.574,HIOKI 3554,TP_z10_02_2
236,INT054,TP_z10_03,INT,z,10,3,35,0.8,0.5,0.9,1.1,cLH,2,68.81,KERN ABT 220-5DM,13.26,HIOKI 3554,3.575,HIOKI 3554,TP_z10_03_2
237,INT107,TP_z11_01,INT,z,11,1,35,0.8,0.1,0.7,0.8,cLH,2,68.87,KERN ABT 220-5DM,12.936,HIOKI 3554,3.575,HIOKI 3554,TP_z11_01_2
238,INT044,TP_z11_02,INT,z,11,2,35,0.8,0.1,0.7,0.8,cLH,2,68.92,KERN ABT 220-5DM,12.922,HIOKI 3554,3.575,HIOKI 3554,TP_z11_02_2
239,INT011,TP_z11_03,INT,z,11,3,35,0.8,0.1,0.7,0.8,cLH,2,68.87,KERN ABT 220-5DM,12.766,HIOKI 3554,3.574,HIOKI 3554,TP_z11_03_2
240,TP_z12_01,TP_z12_01,HM,z,12,1,23,0.8,0.25,0.2,1.4,cLH,2,68.94,KERN ABT 220-5DM,13.804,HIOKI 3554,3.574,HIOKI 3554,TP_z12_01_2
241,TP_z12_02,TP_z12_02,HM,z,12,2,23,0.8,0.25,0.2,1.4,cLH,2,68.93,KERN ABT 220-5DM,13.054,HIOKI 3554,3.575,HIOKI 3554,TP_z12_02_2
242,TP_z12_03,TP_z12_03,HM,z,12,3,23,0.8,0.25,0.2,1.4,cLH,2,68.9,KERN ABT 220-5DM,12.958,HIOKI 3554,3.576,HIOKI 3554,TP_z12_03_2
243,TP_z13_01,TP_z13_01,HM,z,13,1,45,0.52,0.05,0.3,0.7,cLH,2,68.75,KERN ABT 220-5DM,14.048,HIOKI 3554,3.575,HIOKI 3554,TP_z13_01_2
244,TP_z13_02,TP_z13_02,HM,z,13,2,45,0.52,0.05,0.3,0.7,cLH,2,68.87,KERN ABT 220-5DM,13.27,HIOKI 3554,3.575,HIOKI 3554,TP_z13_02_2
245,TP_z13_03,TP_z13_03,HM,z,13,3,45,0.52,0.05,0.3,0.7,cLH,2,68.69,KERN ABT 220-5DM,13.188,HIOKI 3554,3.576,HIOKI 3554,TP_z13_03_2
246,TP_z14_01,TP_z14_01,HM,z,14,1,45,0.41,0.05,1.0,1.0,cLH,2,68.83,KERN ABT 220-5DM,13.356,HIOKI 3554,3.575,HIOKI 3554,TP_z14_01_2
247,TP_z14_02,TP_z14_02,HM,z,14,2,45,0.41,0.05,1.0,1.0,cLH,2,68.66,KERN ABT 220-5DM,13.186,HIOKI 3554,3.577,HIOKI 3554,TP_z14_02_2
248,TP_z14_03,TP_z14_03,HM,z,14,3,45,0.41,0.05,1.0,1.0,cLH,2,68.86,KERN ABT 220-5DM,14.098,HIOKI 3554,3.574,HIOKI 3554,TP_z14_03_2
249,TP_z15_01,TP_z15_01,HM,z,15,1,45,0.8,0.6,1.0,0.26,pi,2,68.91,KERN ABT 220-5DM,12.864,HIOKI 3554,3.575,HIOKI 3554,TP_z15_01_2
250,TP_z15_02,TP_z15_02,HM,z,15,2,45,0.8,0.6,1.0,0.26,pi,2,68.95,KERN ABT 220-5DM,13.214,HIOKI 3554,3.575,HIOKI 3554,TP_z15_02_2
251,TP_z15_03,TP_z15_03,HM,z,15,3,45,0.8,0.6,1.0,0.26,pi,2,68.88,KERN ABT 220-5DM,13.166,HIOKI 3554,3.574,HIOKI 3554,TP_z15_03_2
252,TP_z16_01,TP_z16_01,HM,z,16,1,45,0.8,0.6,0.24,2.0,pi,2,68.85,KERN ABT 220-5DM,13.374,HIOKI 3554,3.575,HIOKI 3554,TP_z16_01_2
253,TP_z16_02,TP_z16_02,HM,z,16,2,45,0.8,0.6,0.24,2.0,pi,2,68.71,KERN ABT 220-5DM,13.346,HIOKI 3554,3.577,HIOKI 3554,TP_z16_02_2
254,TP_z16_03,TP_z16_03,HM,z,16,3,45,0.8,0.6,0.24,2.0,pi,2,68.91,KERN ABT 220-5DM,14.294,HIOKI 3554,3.574,HIOKI 3554,TP_z16_03_2
255,TP_z17_01,TP_z17_01,HM,z,17,1,45,0.8,0.6,1.0,0.26,pi,2,68.93,KERN ABT 220-5DM,13.002,HIOKI 3554,3.575,HIOKI 3554,TP_z17_01_2
256,TP_z17_02,TP_z17_02,HM,z,17,2,45,0.8,0.6,1.0,0.26,pi,2,68.82,KERN ABT 220-5DM,12.982,HIOKI 3554,3.575,HIOKI 3554,TP_z17_02_2
257,TP_z17_03,TP_z17_03,HM,z,17,3,45,0.8,0.6,1.0,0.26,pi,2,68.85,KERN ABT 220-5DM,13.056,HIOKI 3554,3.575,HIOKI 3554,TP_z17_03_2
258,TP_z18_01,TP_z18_01,HM,z,18,1,45,0.8,0.6,0.2,0.44,pi,2,68.91,KERN ABT 220-5DM,13.572,HIOKI 3554,3.575,HIOKI 3554,TP_z18_01_2
259,TP_z18_02,TP_z18_02,HM,z,18,2,45,0.8,0.6,0.2,0.44,pi,2,68.84,KERN ABT 220-5DM,14.004,HIOKI 3554,3.574,HIOKI 3554,TP_z18_02_2
260,TP_z18_03,TP_z18_03,HM,z,18,3,45,0.8,0.6,0.2,0.44,pi,2,68.78,KERN ABT 220-5DM,13.964,HIOKI 3554,3.575,HIOKI 3554,TP_z18_03_2
261,TP_z19_01,TP_z19_01,HM,z,19,1,45,0.8,0.6,0.24,2.0,pi,2,68.98,KERN ABT 220-5DM,12.946,HIOKI 3554,3.574,HIOKI 3554,TP_z19_01_2
262,TP_z19_02,TP_z19_02,HM,z,19,2,45,0.8,0.6,0.24,2.0,pi,2,69.0,KERN ABT 220-5DM,13.414,HIOKI 3554,3.574,HIOKI 3554,TP_z19_02_2
263,TP_z19_03,TP_z19_03,HM,z,19,3,45,0.8,0.6,0.24,2.0,pi,2,69.01,KERN ABT 220-5DM,12.934,HIOKI 3554,3.575,HIOKI 3554,TP_z19_03_2
264,TP_z20_01,TP_z20_01,HM,z,20,1,45,0.8,0.6,1.0,2.0,pi,2,68.88,KERN ABT 220-5DM,12.812,HIOKI 3554,3.575,HIOKI 3554,TP_z20_01_2
265,TP_z20_02,TP_z20_02,HM,z,20,2,45,0.8,0.6,1.0,2.0,pi,2,68.77,KERN ABT 220-5DM,13.978,HIOKI 3554,3.574,HIOKI 3554,TP_z20_02_2
266,TP_z20_03,TP_z20_03,HM,z,20,3,45,0.8,0.6,1.0,2.0,pi,2,68.91,KERN ABT 220-5DM,13.382,HIOKI 3554,3.574,HIOKI 3554,TP_z20_03_2
267,TP_z21_01,TP_z21_01,HM,z,21,1,45,0.8,0.6,0.2,0.44,pi,2,68.92,KERN ABT 220-5DM,12.644,HIOKI 3554,3.574,HIOKI 3554,TP_z21_01_2
268,TP_z21_02,TP_z21_02,HM,z,21,2,45,0.8,0.6,0.2,0.44,pi,2,68.96,KERN ABT 220-5DM,13.666,HIOKI 3554,3.574,HIOKI 3554,TP_z21_02_2
269,TP_z21_03,TP_z21_03,HM,z,21,3,45,0.8,0.6,0.2,0.44,pi,2,68.86,KERN ABT 220-5DM,12.672,HIOKI 3554,3.575,HIOKI 3554,TP_z21_03_2
270,TP_z22_01,TP_z22_01,HM,z,22,1,45,0.8,0.6,0.2,0.44,pi,2,68.92,KERN ABT 220-5DM,12.906,HIOKI 3554,3.575,HIOKI 3554,TP_z22_01_2
271,TP_z22_02,TP_z22_02,HM,z,22,2,45,0.8,0.6,0.2,0.44,pi,2,68.89,KERN ABT 220-5DM,13.344,HIOKI 3554,3.575,HIOKI 3554,TP_z22_02_2
272,TP_z22_03,TP_z22_03,HM,z,22,3,45,0.8,0.6,0.2,0.44,pi,2,69.03,KERN ABT 220-5DM,13.344,HIOKI 3554,3.574,HIOKI 3554,TP_z22_03_2
273,TP_z23_01,TP_z23_01,HM,z,23,1,45,0.8,0.6,1.0,2.0,pi,2,68.82,KERN ABT 220-5DM,13.356,HIOKI 3554,3.575,HIOKI 3554,TP_z23_01_2
274,TP_z23_02,TP_z23_02,HM,z,23,2,45,0.8,0.6,1.0,2.0,pi,2,68.99,KERN ABT 220-5DM,13.708,HIOKI 3554,3.575,HIOKI 3554,TP_z23_02_2
275,TP_z23_03,TP_z23_03,HM,z,23,3,45,0.8,0.6,1.0,2.0,pi,2,68.87,KERN ABT 220-5DM,12.448,HIOKI 3554,3.574,HIOKI 3554,TP_z23_03_2
276,TP_z24_01,TP_z24_01,HM,z,24,1,45,0.8,0.6,0.2,0.44,pi,2,68.71,KERN ABT 220-5DM,12.962,HIOKI 3554,3.576,HIOKI 3554,TP_z24_01_2
277,TP_z24_02,TP_z24_02,HM,z,24,2,45,0.8,0.6,0.2,0.44,pi,2,68.79,KERN ABT 220-5DM,14.42,HIOKI 3554,3.574,HIOKI 3554,TP_z24_02_2
278,TP_z24_03,TP_z24_03,HM,z,24,3,45,0.8,0.6,0.2,0.44,pi,2,68.69,KERN ABT 220-5DM,13.588,HIOKI 3554,3.576,HIOKI 3554,TP_z24_03_2
