name,value
"p[BRIMFIELD_MA,4]",-85.55542
"p[FALLRIVER_MA,4]",-0.0
"p[FALLRIVER2_MA,4]",-340.05572
"p[BROCKTON_MA,4]",-112.85870131971518
"p[MIDDLEBOROUGH_MA,4]",-0.0
"p[HYANNIS_MA,4]",-148.639005
"p[QUINCY_MA,4]",-167.10381400000003
"p[BRATTLEBORO_VT,4]",-130.12608
"p[NASHUA_NH,4]",-73.44065
"p[LITTLETON_MA,4]",-152.15869
"p[PORTLAND_ME,4]",-132.64133999999999
"p[AUGUSTA_ME,4]",-140.53241884543644
"p[TURNERSFALLS_MA,4]",700.0000000000017
"p[NEWHAVEN2_CT,4]",558.5646532708497
"p[MYSTIC_CT,4]",-0.0
"p[FALLRIVER4_MA,4]",627.1019600000017
"p[FALLRIVER3_MA,4]",412.95375999999874
"p[MIDDLEBOROUGH2_MA,4]",623.9931750353223
"p[HYANNIS2_MA,4]",699.9999999999993
"p[BRATTLEBORO2_VT,4]",-0.0
"p[AUGUSTA2_ME,4]",700.0000000000002
"p[KINGSTON_NY,4]",-678.69504
"p[ALBANY_NY,5]",-0.0
"p[GREENFIELD_MA,5]",-0.0
"p[HOLYOKE_MA,5]",-173.5902
"p[HARTFORD_CT,5]",-250.9
"p[PROSPECT_CT,5]",-709.0506931064932
"p[NEWHAVEN_CT,5]",-0.0
"p[ANSONIA_CT,5]",-117.32084000000002
"p[SOUTHBURY_CT,5]",-261.9396
"p[DANBURY_CT,5]",-0.0
"p[GROTON_CT,5]",-0.0
"p[NEWLONDON_CT,5]",-0.0
"p[NEWLONDON2_CT,5]",-3.7635
"p[GROTON2_CT,5]",-0.0
"p[MARLBOROUGH_CT,5]",-0.0
"p[PROVIDENCE_RI,5]",-167.90400000000002
"p[BOSTON_MA,5]",-470.7832851277952
"p[WORCESTER_MA,5]",-0.0
"p[BRIMFIELD_MA,5]",-85.1778
"p[FALLRIVER_MA,5]",-0.0
"p[FALLRIVER2_MA,5]",-338.5548
"p[BROCKTON_MA,5]",-121.72023882893888
"p[MIDDLEBOROUGH_MA,5]",-0.0
"p[HYANNIS_MA,5]",-147.98295000000002
"p[QUINCY_MA,5]",-166.36626
