cname,dual
c_power_balance[1],647.2990502503578
c_power_balance[2],637.2959173401431
c_power_balance[3],631.0924526047241
c_power_balance[4],637.2959173401408
c_power_balance[5],637.2959173401412
c_power_balance[6],647.2990502503576
c_power_balance[7],647.2990502503578
c_power_balance[8],637.295917340141
c_power_balance[9],647.2990502503578
c_power_balance[10],637.295917340141
c_power_balance[11],637.2959173401408
c_power_balance[12],637.295917340141
c_power_balance[13],647.2990502503576
c_power_balance[14],647.2990502503577
c_power_balance[15],647.2990502503577
c_power_balance[16],647.2990502503576
c_power_balance[17],647.2990502503576
c_power_balance[18],637.2959173401407
c_power_balance[19],647.2990502503592
c_power_balance[20],637.2959173401423
c_power_balance[21],637.2959173401408
c_power_balance[22],647.2990502503576
c_power_balance[23],647.2990502503579
c_power_balance[24],647.2990502503579
c_power_balance[25],631.092452604722
c_power_balance[26],637.2959173401408
c_power_balance[27],647.2990502503579
c_power_balance[28],647.2990502503577
c_power_balance[29],631.0924526047221
c_power_balance[30],631.0924526047221
c_power_balance[31],631.0924526047221
c_power_balance[32],637.2959173401413
c_power_balance[33],637.2959173401412
c_power_balance[34],631.0924526047221
c_power_balance[35],631.0924526047222
c_power_balance[36],637.2959173401407
c_power_balance[37],637.2959173401408
c_power_balance[38],637.2959173401408
c_power_balance[39],637.2959173401404
c_power_balance[40],631.0924526047215
c_power_balance[41],631.0924526047219
c_power_balance[42],631.0924526047223
c_power_balance[43],637.2959173401415
c_power_balance[44],653.5025149857784
c_power_balance[45],653.5025149857784
c_power_balance[46],637.2959173401408
c_power_balance[47],647.2990502503577
c_power_balance[48],653.5025149857786
c_power_balance[49],637.2959173401408
c_power_balance[50],647.2990502503594
c_power_balance[51],637.2959173401408
c_power_balance[52],653.502514985778
c_power_balance[53],637.2959173401408
c_power_balance[54],631.0924526047221
c_power_balance[55],637.2959173401408
c_power_balance[56],631.0924526047221
c_power_balance[57],637.2959173401408
c_power_balance[58],637.2959173401407
c_power_balance[59],653.5025149857785
c_power_balance[60],637.2959173401415
c_power_balance[61],631.0924526047214
c_power_balance[62],637.2959173401408
c_power_balance[63],819.0344568792178
c_power_balance[64],819.0344568792178
c_power_balance[65],743.3360664597164
c_power_balance[66],631.0924526047219
c_power_balance[67],637.2959173401408
c_power_balance[68],653.5025149857784
c_power_balance[69],637.2959173401408
c_power_balance[70],631.0924526047221
c_power_balance[71],631.0924526047221
c_power_balance[72],637.2959173401413
c_power_balance[73],631.0924526047221
c_power_balance[74],637.2959173401408
c_power_balance[75],647.2990502503593
c_power_balance[76],637.2959173401408
c_power_balance[77],637.2959173401413
c_power_balance[78],653.5025149857786
c_power_balance[79],631.0924526047221
c_power_balance[80],637.2959173401408
c_power_balance[81],631.0924526047221
c_power_balance[82],647.2990502503596
c_power_balance[83],637.295917340141
c_power_balance[84],637.2959173401416
c_power_balance[85],631.0924526047227
c_power_balance[86],812.8309921437991
c_power_balance[87],921.729729089184
c_power_balance[88],874.4481554697796
c_power_balance[89],33957.60870942676
c_power_balance[90],31107.954332758498
c_power_balance[91],650.3799084166562
c_power_balance[92],653.5025149857794
c_power_balance[93],663.5056478959973
c_power_balance[94],637.295917340141
c_power_balance[95],650.3799084166591
c_power_balance[96],656.5833731520777
c_power_balance[97],637.2959173401414
c_power_balance[98],637.2959173401414
c_power_balance[99],631.0924526047222
c_power_balance[100],653.5025149857784
c_power_balance[101],656.5833731520776
c_power_balance[102],640.3767755064398
c_power_balance[103],647.2990502503593
c_power_balance[104],647.2990502503593
c_power_balance[105],653.5025149857785
c_power_balance[106],647.2990502503593
c_power_balance[107],650.3799084166589
c_power_balance[108],653.5025149857784
c_power_balance[109],637.2959173401408
c_power_balance[110],650.3799084166587
c_power_balance[111],631.0924526047222
c_power_balance[112],653.502514985778
c_power_balance[113],631.0924526047221
c_power_balance[114],640.3767755064398
c_power_balance[115],637.2959173401408
c_power_balance[116],647.2990502503594
c_power_balance[117],640.3767755064398
c_power_balance[118],647.2990502503573
c_power_balance[119],631.0924526047221
c_power_balance[120],647.2990502503594
c_power_balance[121],647.2990502503593
c_power_balance[122],634.1733107710211
c_power_balance[123],656.583373152077
c_power_balance[124],261.7101196369643
c_power_balance[125],258.21220297029765
c_power_balance[126],258.87715346534713
c_power_balance[127],261.71011963696435
c_power_balance[128],637.2959173401412
c_power_balance[129],631.0924526047221
c_power_balance[130],637.2959173401412
c_power_balance[131],647.2990502503594
c_power_balance[132],634.1733107710211
c_power_balance[133],631.092452604722
c_power_balance[134],647.2990502503594
c_power_balance[135],634.1733107710211
c_power_balance[136],663.5056478959954
c_power_balance[137],640.3767755064398
c_power_balance[138],637.2959173401412
c_power_balance[139],653.5025149857781
c_power_balance[140],647.2990502503594
c_power_balance[141],634.1733107710211
c_power_balance[142],647.2990502503594
c_power_balance[143],631.0924526047221
c_power_balance[144],647.2990502503578
c_power_balance[145],637.2959173401413
c_power_balance[146],258.21220297029765
c_power_balance[147],258.21220297029765
c_power_balance[148],265.2080363036305
c_power_balance[149],258.2122029702976
c_power_balance[150],631.0924526047214
c_power_balance[151],647.2990502503593
c_power_balance[152],631.092452604722
c_power_balance[153],653.502514985778
c_power_balance[154],653.5025149857781
c_power_balance[155],637.2959173401412
c_power_balance[156],653.5025149857781
c_power_balance[157],653.5025149857781
c_power_balance[158],647.2990502503594
c_power_balance[159],647.2990502503593
c_power_balance[160],653.5025149857781
c_power_balance[161],653.5025149857781
c_power_balance[162],637.2959173401414
c_power_balance[163],631.0924526047222
c_power_balance[164],637.2959173401414
c_power_balance[165],653.502514985778
c_power_balance[166],640.3767755064398
c_power_balance[167],640.3767755064398
c_power_balance[168],637.2959173401413
c_power_balance[169],647.2990502503586
c_power_balance[170],663.5056478959955
c_power_balance[171],387.19018030305745
c_power_balance[172],258.2122029702976
c_power_balance[173],634.1733107710205
c_power_balance[174],631.0924526047221
c_power_balance[175],631.0924526047221
c_power_balance[176],631.092452604722
c_power_balance[177],640.3767755064398
c_power_balance[178],640.3767755064398
c_power_balance[179],631.0924526047221
c_power_balance[180],637.2959173401412
c_power_balance[181],653.502514985778
c_power_balance[182],640.3767755064398
c_power_balance[183],634.1733107710211
c_power_balance[184],647.2990502503578
c_power_balance[185],637.2959173401413
c_power_balance[186],637.2959173401413
c_power_balance[187],653.5025149857781
c_power_balance[188],656.5833731520777
c_power_balance[189],640.3767755064398
c_power_balance[190],637.2959173401413
c_power_balance[191],647.2990502503578
c_power_balance[192],155.58125
c_bus_injection[1],787.6385581797906
c_bus_injection[1],787.6385581797907
c_bus_injection[1],787.6385581797899
c_bus_injection[1],787.6385581797898
c_bus_injection[1],787.6385581797919
c_bus_injection[1],787.6385581797896
c_bus_injection[1],787.6385581797898
c_bus_injection[1],787.63855817979
c_bus_injection[1],787.6385581797905
c_bus_injection[1],787.6385581797892
